pmid,food_key,coder1,coder2,adjudicated,sub_label,reason
12775122,mayonnaise,claim-directed,incidental,True,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing compares medium- against long-chain triacylglycerols, and mayonnaise is the food the test oil was delivered in"
10726436,milk,claim-directed,claim-directed,False,claim-directed,glucose-in-milk (with/without) x exercise intensity effect on EPOC/RER/rectal temp
16046713,milk,claim-directed,claim-directed,False,claim-directed,cow's milk complementary feeding effect on sleeping metabolic rate in infants
17998024,milk,claim-directed,claim-directed,False,claim-directed,milk vs sugar beverage supplementation effect on REE and RQ in children
18618137,milk,incidental,incidental,False,incidental,milk vs CE drink effect on fluid balance/exercise capacity in heat; rectal temp appears only in results
19874634,milk,claim-directed,claim-directed,False,claim-directed,whey/alpha-lac (milk protein) effect on diet-induced thermogenesis and appetite
22254119,milk,claim-directed,claim-directed,False,claim-directed,milk-protein dose x GT effect on diet-induced thermogenesis
22274550,milk,claim-directed,claim-directed,False,claim-directed,milk proteins (whey/casein/milk) effect on appetite regulation and DIT
2380845,milk,incidental,incidental,False,incidental,review of energy intake/requirements of milk-fed infants; SMR/rectal temp one supporting datum among several
27180680,milk,incidental,claim-directed,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim is nitric-oxide-dependent vasodilation, with local heating used as the assay rather than as the question"
27329516,milk,claim-directed,incidental,True,incidental,"condition 2: the purpose names next-morning running performance, metabolism and hydration status, and resting metabolic rate is named only in the methods; exercise performance is one of the questions §8 lists as making a qualifying measurement incidental"
29738462,milk,incidental,incidental,False,incidental,acidified milk protein drink effect on cognitive performance; body temperature a secondary null covariate
30201853,milk,claim-directed,claim-directed,False,claim-directed,pre-sleep casein/whey effect on morning RMR and resistance exercise performance
30592848,milk,incidental,incidental,False,incidental,fermented milk whey product effect on athletes' adaptive capacity; blood perfusion one line in large panel
3570867,milk,claim-directed,claim-directed,False,claim-directed,breast milk vs preterm formula: role of diet-induced thermogenesis in energy utilization
3725461,milk,claim-directed,claim-directed,False,claim-directed,milk-formula feeding: thermogenic effect of feeding vs muscular activity on EE
3756253,milk,claim-directed,claim-directed,False,claim-directed,human milk feeding effect on postprandial thermogenesis in VLBW infants
936997,milk,incidental,claim-directed,True,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is between infant groups (infants of diabetic mothers, small-for-gestational-age) and feeding is common to all"
29338262,mugicha,claim-directed,claim-directed,False,claim-directed,roasted barley extract (mugicha) increases cutaneous blood flow and skin temperature in humans (title-named)
29792425,mugicha,claim-directed,claim-directed,False,claim-directed,mugicha effect on cutaneous blood flow/skin temperature under air conditioning
30814418,mugicha,claim-directed,claim-directed,False,claim-directed,mugicha effect on skin temperature in cold conditions
25653551,natto,incidental,incidental,False,incidental,"NKCP (natto constituent) effect on subjective symptoms of blood-flow disturbance; coldness-of-extremities VAS named only among results, title/aim generic"
29415906,natto,incidental,incidental,False,incidental,NKCP effect on neck/shoulder stiffness; skin temperature named only in results
11694607,oolong tea,claim-directed,claim-directed,False,claim-directed,oolong tea effect on 24-h energy expenditure and fat oxidation in men
13678386,oolong tea,claim-directed,claim-directed,False,claim-directed,oolong tea effect on energy expenditure vs green tea in Japanese women
33260552,oolong tea,claim-directed,claim-directed,False,claim-directed,subacute caffeine/oolong tea effect on fat oxidation and energy expenditure
18262575,orange,incidental,incidental,False,incidental,ANS response to sweet taste (habituation vs pleasure); orange juice one of several interchangeable sweet stimuli
24391145,orange,incidental,incidental,False,incidental,facial circulatory response to taste palatability; orange juice one of six taste stimuli
30011719,orange,incidental,incidental,False,incidental,"facial expression/ANS response to juice tasting; orange one of five juices, category study"
37702528,orange,claim-directed,claim-directed,False,claim-directed,"review of citrus fruits' effects on energy expenditure, body weight, metabolic biomarkers"
17460329,pasta,claim-directed,claim-directed,False,claim-directed,"pasta vs bread meal effect on thermic (and glycemic) response, with/without exercise"
26863235,pasta,claim-directed,claim-directed,False,claim-directed,whole-grain pasta effect on appetite and meal-induced thermogenesis
30098403,pasta,claim-directed,claim-directed,False,claim-directed,cod/veal x potato/pasta(GI) meal effect on diet-induced thermogenesis (stated primary endpoint)
30744149,pasta,claim-directed,claim-directed,False,claim-directed,salmon/veal x potato/pasta(GI) meal effect on diet-induced thermogenesis (stated primary endpoint)
16580033,pepper,claim-directed,claim-directed,False,claim-directed,review of spices/teas/caffeine (incl. black pepper) metabolic/thermogenic effects
23021155,pepper,claim-directed,claim-directed,False,claim-directed,"acute effect of 4 spices incl. black pepper on postprandial DIT (stated primary aim), each its own arm"
12619669,persimmon,claim-directed,claim-directed,False,claim-directed,persimmon (kaki) ingestion effect on peripheral body temperature
11063440,pork,claim-directed,claim-directed,False,claim-directed,pork-meat vs soy protein vs carbohydrate diet effect on 24-h energy expenditure
20484942,pork,claim-directed,claim-directed,False,claim-directed,"meat(pork)/dairy/soy protein meal effect on energy expenditure (title-named), protein oxidation"
26821042,pork,incidental,claim-directed,True,incidental,"condition 1: the framing names a category, formula or constituent class and this food is its carrier or instance — the class §8 leaves for the author; the framing names dietary protein source and quantity, with pork one half of the omnivorous arm. Ruled together with beef/26821042, on which both coders agreed incidental, so the same study cannot take opposite labels under its two foods"
3059793,potato,claim-directed,claim-directed,False,claim-directed,"bean vs potato meal effect on plasma glucose/insulin and energy expenditure over 6h (stated aim, EE also reported in results)"
34064968,potato,incidental,claim-directed,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim names blood pressure and microcirculation, glossing the latter '(endothelial function)', in pre-hypertensive-to-hypertensive adults"
7733031,potato,claim-directed,claim-directed,False,claim-directed,raw potato starch effect on postprandial thermogenesis and substrate oxidation
7766565,potato,claim-directed,claim-directed,False,claim-directed,resistant (potato) starch vs digestible starch effect on diet-induced thermogenesis
9250108,potato,incidental,incidental,False,incidental,modified potato starch effect on glucose metabolism and appetite sensations (title); EE measured but absent from results/conclusion
29902225,rapeseed oil,claim-directed,incidental,True,incidental,"condition 2: the aim compares meals rich in saturated versus unsaturated fatty acids on 24-h fat oxidation, and substrate oxidation is not a §2.3 outcome class; diet-induced thermogenesis appears only in the background, and the abstract reports energy expenditure as similar between arms"
31389518,rapeseed oil,incidental,incidental,False,incidental,"systematic review of fatty acid composition's effect on postprandial EE/DIT; rapeseed oil mentioned once as a losing comparison to olive oil, not the review's subject"
2643752,red wine,incidental,incidental,False,incidental,"alcohol/red wine's effect on lipid metabolism (primary, several significant findings) and energy balance (RMR/postprandial EE, co-aim, no difference found) -- caloric-accounting framing, not thermogenesis"
35580478,red wine,claim-directed,claim-directed,False,claim-directed,"red wine (alcohol vs de-alcoholized) effect on postprandial metabolic rate, explicit title, co-primary with appetite hormones/glucose"
8768808,red wine,incidental,incidental,False,incidental,"red wine histamine content's effect on bronchoconstriction/histamine intolerance (allergy/respiratory framing); skin temperature is one of several assessed variables, not the framed question"
10723960,sake,incidental,incidental,False,incidental,"review of acetaldehyde's biological actions broadly (flushing/catecholamines/kinin system/alcohol GI absorption pharmacokinetics); sake-drinking flushing is one of 5 points, not the review's stated objective"
30744149,salmon,claim-directed,claim-directed,False,claim-directed,"salmon+high/low-GI carb meal's effect on diet-induced thermogenesis, explicit primary endpoint named in title and aim"
10378902,salt,incidental,incidental,False,incidental,salt+carb drink to prevent dehydration in cystic-fibrosis children exercising in heat; core temperature monitored but framed question is fluid balance/dehydration
12676273,salt,incidental,incidental,False,incidental,"gender x emotional/autonomic response to primary tastes (salt one instance); skin temperature is 1-of-5 autonomic parameters, not the framed question"
14981050,salt,incidental,incidental,False,incidental,"salt loading's effect on orthostatic cerebral/peripheral vascular control in syncope patients; vascular-autonomic question, not thermal"
16505084,salt,incidental,incidental,False,incidental,sodium supplementation's effect on serum sodium concentration/hyponatraemia during an Ironman triathlon; rectal temperature is one of many non-significant covariates
21490606,salt,claim-directed,claim-directed,False,claim-directed,"acute salt ingestion's effect on core/rectal temperature, explicit title and aim"
23253191,salt,incidental,incidental,False,incidental,"salt+water ingestion's effect on cardiovascular function/exercise performance during dehydrating cycling in heat; thermoregulatory effect (skin blood flow) explicitly not improved, not the framed question"
25729305,salt,claim-directed,claim-directed,False,claim-directed,"oral sodium supplementation's effect on indices of thermoregulation in endurance athletes, explicit title and aim"
2656071,salt,incidental,incidental,False,incidental,"salt intake's effect on exercise tolerance/ability to exercise in a hot environment; rectal temperature is one of several outcomes, not singled out in the framing"
27714955,salt,incidental,incidental,False,incidental,"dietary sodium restriction's effect on plasma sodium response to exercise in the heat; core temperature is a secondary finding, not named in the aim"
31284449,salt,incidental,incidental,False,incidental,"sensory/emotional response to basic tastes (salt one instance) in chocolate tasting; skin temperature is one of several biometric outputs, not the framed question"
31377851,salt,claim-directed,claim-directed,False,claim-directed,3-day altered dietary sodium intake's effect on sweat/cardiovascular/thermoregulatory variables during exertional heat stress; thermoregulatory variables explicitly named as a study aim
31584837,salt,incidental,incidental,False,incidental,salt restriction's effect on resting/exercise blood pressure and peripheral hemodynamics in hypertensive individuals; no thermal outcome named in the framing
32972591,salt,incidental,incidental,False,incidental,"hydration (plus salt/albumin) protocol's effect on lower-extremity claudication/rest-pain symptoms; skin temperature of the feet is one of several clinical outcomes, not the framed question"
35057434,salt,claim-directed,claim-directed,False,claim-directed,"increased salt intake's effect on diet-induced thermogenesis, explicit title and aim"
36655379,salt,incidental,incidental,False,incidental,"review of dietary salt's role in cardiovascular disease and metabolism/energy balance broadly; thermogenesis is one minor strand ('worth noting'), not the review's stated objective"
37108318,salt,incidental,incidental,False,incidental,"high-salt diet's effect on nitric-oxide-mediated endothelium-dependent vasodilation (micro/macrovascular); local thermal hyperaemia is used as one endothelial-function probe, not the framed question"
3814761,salt,incidental,incidental,False,incidental,"salt loading's broad physiological effects (electrolytes, aldosterone, sweat, body weight, heart rate, temperature) during exercise in a hot dry climate; framed question is whether supplemental salt is needed/beneficial for acclimatized workers"
38230612,salt,incidental,incidental,False,incidental,"high dietary salt intake's effect on endothelium-dependent vasodilation/oxidative stress in pregnancy; local heating is one of several vascular-reactivity probes, not the framed question"
40005022,salt,incidental,incidental,False,incidental,"low-salt diet's effect on acetylcholine-induced microvascular dilation (endothelial function) in psoriasis patients; local thermal hyperaemia is one of several reactivity probes, not the framed question"
25653551,soybean,incidental,claim-directed,True,incidental,"condition 2: the framing names symptoms caused by blood flow disturbance, of which coldness of the extremities is one of four measured symptoms. Ruled together with natto/25653551, on which both coders agreed incidental"
40501501,soybean,incidental,incidental,False,incidental,"black soybean seed-coat extract's effect on sleep quality (primary: sleepiness-on-rising score); palmar surface temperature is one of many secondary outcomes, not the framed question"
24500154,spinach,claim-directed,claim-directed,False,claim-directed,"dietary nitrate (spinach's principal dietary constituent, standing in for vegetable intake)'s effect on resting metabolic rate, explicit title and aim"
25880734,tomato,claim-directed,claim-directed,False,claim-directed,"tomato juice's effect on resting energy expenditure, explicitly named in the title alongside hypertriglyceridemia"
34055150,vinegar,claim-directed,claim-directed,False,claim-directed,"acetic acid (apple cider vinegar) supplementation's effect on resting and exercise energy expenditure, explicit title and aim"
36558358,watermelon,incidental,incidental,False,incidental,"wild watermelon-extracted juice's effect on peripheral arterial stiffness/nitric oxide production; blood flow is measured but the framed question is vascular stiffness/NO, not warming or cooling"
29193741,wheat,claim-directed,claim-directed,False,claim-directed,"whole-wheat (vs high-fructose corn syrup) carbohydrate source's effect on 24-h energy expenditure during overfeeding, explicit title and aim"
30669411,wheat,claim-directed,claim-directed,False,claim-directed,"wheat albumin's effect on night-time energy metabolism (respiratory quotient, fat/carbohydrate oxidation), explicit title and aim"
20613890,white bread,incidental,incidental,False,incidental,"same record as the cheese/20613890 worked example in the protocol: contrasts whole-food vs processed-food meals with bread+cheese bundled together; the subject is processing, not white bread specifically"
10490784,white sugar,incidental,incidental,False,incidental,"weight-loss study in massively obese adolescents; a fixed sucrose load is used as a metabolic probe (carbohydrate-induced thermogenesis) to assess metabolic adaptation, not itself varied as the exposure"
10535715,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose-sweetened soft drink's thermic effect (TEF)/resting metabolic rate across the menstrual cycle, explicit title"
10888287,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose (vs aspartame) sweet taste's effect on diet-induced thermogenesis, explicit title and aim"
10919929,white sugar,incidental,claim-directed,True,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; 'macronutrient disposal during controlled overfeeding', where the measurement separates energy dissipated from energy stored"
11114149,white sugar,incidental,incidental,False,incidental,"autonomic nervous system/emotional response to primary tastes (sucrose one instance); skin temperature is 1-of-5 ANS parameters, not the framed question"
12676273,white sugar,incidental,incidental,False,incidental,"gender x emotional/autonomic response to primary tastes including sweet (sucrose); skin temperature is 1-of-5 autonomic measures, not the framed question"
1460188,white sugar,incidental,incidental,False,incidental,"postexercise sucrose ingestion's broad cardiovascular/hormonal/renal/metabolic effects; metabolic-rate increase is one finding within a broad panel, not singled out in the title"
14970837,white sugar,claim-directed,claim-directed,False,claim-directed,"sugar-only vs mixed-nutrient beverage's thermic effect (7-h energy expenditure) and satiety, explicit title"
16822824,white sugar,incidental,incidental,False,incidental,"study of water's thermogenic effect ('water-induced thermogenesis' in the title); the sucrose solution serves as a positive control comparator to validate the method, not the food under investigation"
18218905,white sugar,incidental,incidental,False,incidental,"carbohydrate ingestion x ambient heat's effect on muscle fatigue development/pacing strategy in cyclists; rectal/skin temperature are recorded covariates, not the framed question"
18262575,white sugar,incidental,incidental,False,incidental,"autonomic nervous system response to sweet (sucrose) taste -- a hedonic/habituation question; skin temperature is 1-of-5 ANS parameters, not the framed question"
21504975,white sugar,claim-directed,claim-directed,False,claim-directed,"honey vs sucrose meal's effect on postmeal thermogenesis (alongside appetite hormones), explicit title and aim"
22251924,white sugar,incidental,incidental,False,incidental,"dilute carbohydrate beverage's effect on exercise performance (time to exhaustion) in cool/warm environments; core temperature was not affected and is a covariate, not the framed question"
2276854,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose's effect on resting metabolic rate during hypocaloric weight loss vs protein-only diets, explicit title; aim explicitly frames 'thermogenesis from sucrose'"
2281951,white sugar,incidental,incidental,False,incidental,"palatability's effect on postprandial energy expenditure/sucrose-induced thermogenesis, tested using sucrose solutions/meals as the vehicle; sucrose dose is held constant while palatability varies across arms"
23941499,white sugar,claim-directed,claim-directed,False,claim-directed,"review of fructose-containing caloric sweeteners' (including sucrose) effect on diet-induced thermogenesis, basal metabolic rate and postprandial energy expenditure -- explicit thermal objective throughout"
24787495,white sugar,incidental,claim-directed,True,incidental,"condition 2: the framing is energy-balance or metabolisable-energy accounting, which §8 lists among the questions that make a qualifying measurement incidental; a 10-week supplementation study of energy intake, appetite and expenditure in overweight subjects, framed on the energy-balance equation"
24918475,white sugar,incidental,incidental,False,incidental,"sucrose analgesia's effect on pain response (NIPS score) during neonatal heel lance; skin blood flow (via Laser Doppler) is used as an objective pain/stress biomarker, framed as pain-assessment research"
2583144,white sugar,incidental,incidental,False,incidental,"carbohydrate (incl. sucrose) beverage content's effect on exercise performance/physiologic function during cycling in a warm environment; rectal temperature is one of several null covariates, not the framed question"
30196900,white sugar,claim-directed,claim-directed,False,claim-directed,"pre-exercise sucrose ingestion's effect on thermoregulatory responses during near-maximal running, explicit title and aim"
31374985,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose (vs sucralose) effect on energy expenditure and carbohydrate oxidation, explicit title and aim"
3304593,white sugar,claim-directed,incidental,True,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrasts are obese versus nonobese and 30 versus 22 degrees ambient temperature, with the sucrose load fixed. Coder 2 also flagged unclear-question, which the ruling settles"
33066498,white sugar,incidental,incidental,False,incidental,"lactisole co-administered with sucrose or glucose's effect on energy intake and peripheral serotonin; body core temperature is a secondary finding mentioned once, not named in the title/aim"
34072006,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose (one of three arms: isomaltulose/sucrose/water) thermoregulatory response during exercise in a hot environment, explicit 'Thermoregulatory Responses' in title"
3431377,white sugar,incidental,incidental,False,incidental,"carbohydrate (incl. sucrose) feeding's effect on exercise performance/physiologic function during intermittent cycling in the heat; rectal/skin temperature are null covariates among many, not the framed question"
3740086,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose substitution's effect on preventing/reversing the fall in resting metabolic rate during hypocaloric dieting, explicit title"
39405582,white sugar,incidental,incidental,False,incidental,"sucrose-containing sports drink's effect on acute kidney injury risk during simulated occupational heat stress; core temperature is a matched covariate showing no difference, not the framed question"
40472198,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose (combined with glycerol and sodium) effect on thermoregulatory response, fluid balance and exercise capacity in the heat, explicit 'Thermoregulation' in title and aim"
42302737,white sugar,incidental,incidental,False,incidental,"higher-fructose vs sucrose-sweetened sport drink's effect on acute kidney injury risk during simulated heat stress; rectal temperature is a matched covariate showing no difference, not the framed question"
6645964,white sugar,incidental,incidental,False,incidental,"case report of hypothermia in a patient with anorexia nervosa, framed around thiamine deficiency; the sucrose intake increase and temperature normalization is a secondary narrative detail, not the report's stated question"
6801959,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose vs glucose dietary-induced thermogenesis in normal-weight and overweight men, explicit title and aim"
7403080,white sugar,claim-directed,claim-directed,True,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Differences in the metabolic rate following ingestion of sucrose and glucose in man' names the constituent as what is varied and metabolic rate as what is measured, with no rival outcome named"
8026144,white sugar,claim-directed,claim-directed,False,claim-directed,"mono-/disaccharide (sucrose-containing) vs polysaccharide meal's effect on postprandial energy expenditure, co-named in the title alongside glycaemia and hormonal response, with a significant sucrose-associated EE increase reported"
8315557,white sugar,claim-directed,incidental,True,incidental,"condition 1: the food is held constant across the compared groups and what varies is the subjects or their state, so the food is not the exposure the study is about (the cheese/20613890 worked example, with a group contrast in place of a processing contrast); the contrast is obese versus normal-weight children and the sucrose load is fixed"
8843178,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose (among four carbohydrate types) postprandial thermogenesis and energy expenditure, explicit 'postprandial thermogenesis' in title"
9131312,white sugar,claim-directed,claim-directed,False,claim-directed,"sucrose taste's effect on heat loss/metabolic rate via crying cessation in newborns, explicit 'heat loss' in title and aim"
9347402,white sugar,claim-directed,claim-directed,False,claim-directed,"high-sucrose vs starch/fat diet's effect on energy expenditure, co-named in the title alongside energy intake and body weight, with a significant sucrose-associated EE increase reported"
25823387,whole grain bread,incidental,incidental,False,incidental,"visceral adiposity's association with an enhanced early thermogenic response (e-TEF) to whole-grain bread used as a carbohydrate-rich test meal (vs walnuts); framed as an adiposity-TEF correlation/phenotyping study, not whether whole-grain bread itself has a thermic effect"
19874634,yogurt,claim-directed,claim-directed,False,claim-directed,"breakfast yoghurt (plus whey-protein enrichment) effect on diet-induced thermogenesis/energy expenditure and appetite suppression, explicit title and aim"
29057769,yogurt,claim-directed,claim-directed,False,claim-directed,"diluted traditional yoghurt drink (buttermilk)'s effect on heat strain/thermoregulation during occupational intermittent work, explicit title and aim"
